587,87634,1,1/9/2013,34823
922,88734,1,1/9/2013,34824
433,99207,2,1/9/2013,34825
64,98243,1,1/9/2013,34826
922,77623,3,1/9/2013,34827
922,88734,24,1/9/2013,34828
331,282009,2,1/9/2013,34829
482,87634,1,1/9/2013,34830
3221,92387,15,1/9/2013,34831
452,282299,2,1/9/2013,34832
64,77624,17,1/9/2013,34833
895,88211,31,1/9/2013,34834
1993,92387,2,1/9/2013,34835
720,282009,2,1/9/2013,34836
830,282299,1,1/9/2013,34837
176,77623,1,1/9/2013,34838
128,88734,4,1/9/2013,34839
97,99202,1,1/9/2013,34840
322,99202,6,1/9/2013,34841
7,98243,1,1/24/2013,34842
11,77623,2,1/24/2013,34843
482,88734,1,1/24/2013,34844
3221,282009,1,1/24/2013,34845
452,99202,23,1/24/2013,34846
64,92387,4,1/24/2013,34847
895,282009,7,1/24/2013,34848
1993,92387,3,1/24/2013,34849
720,99207,1,1/24/2013,34850
102,98243,1,1/24/2013,34851
227,77623,1,1/24/2013,34852
323,99207,2,1/24/2013,34853
47,92387,1,1/24/2013,34854
431,87659,1,1/24/2013,34855
24,45641,5,1/24/2013,34856
19,88734,7,1/24/2013,34857
773,45641,4,1/24/2013,34858
647,45628,2,1/24/2013,34859
773,45628,10,1/24/2013,34860
